[BPS Process Server][2019-01-10 10:31:37,791][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 10:31:38,017][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 10:31:38,018][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 10:31:38,411][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 10:31:38,444][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 10:31:38,448][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 10:31:38,451][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 10:31:38,451][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 10:31:38,452][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 10:31:38,458][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 10:31:38,459][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 10:31:38,459][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 10:31:38,812][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 10:31:38,817][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 10:31:38,818][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 10:31:38,842][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 10:31:38,847][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 10:31:38,860][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 10:31:38,898][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 10:31:38,947][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 10:31:38,952][INFO] BPS Process Server start up in 1185 ms
[BPS Process Server][2019-01-10 10:31:38,955][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 10:34:38,865][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-10 11:12:42,555][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 11:12:42,701][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 11:12:42,701][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 11:12:42,973][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 11:12:42,992][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 11:12:42,994][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 11:12:42,995][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 11:12:42,995][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 11:12:42,995][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 11:12:43,001][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 11:12:43,001][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 11:12:43,002][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 11:12:43,499][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 11:12:43,502][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 11:12:43,502][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 11:12:43,514][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 11:12:43,517][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 11:12:43,527][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 11:12:43,544][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 11:12:43,572][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 11:12:43,574][INFO] BPS Process Server start up in 1032 ms
[BPS Process Server][2019-01-10 11:12:43,576][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 11:15:43,520][INFO] Timer trig first:180000 3000
[BPS Process Server][2019-01-10 15:02:44,139][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 15:02:44,295][INFO] BPS multi-tenancy mode is false
